"Code du chapitre SH";"Libellé du chapitre SH";"Code du groupement d'utilisation";"Libellé du groupement d'utilisation";"Code de la section CTCI";"Libellé de la section CTCI";"Poids en KG Janvier 2000";"Poids en KG Février 2000";"Poids en KG Mars 2000";"Poids en KG Avril 2000";"Poids en KG Mai 2000";"Poids en KG Juin 2000";"Poids en KG Janvier 2001";"Poids en KG Février 2001";"Poids en KG Mars 2001";"Poids en KG Avril 2001";"Poids en KG Mai 2001";"Poids en KG Juin 2001";
"59";"TISSUS IMPRÉGNÉS, ENDUITS, RECOUVERTS OU STRATIFIÉS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"365373";"575015";"476132";"420510";"597608";"662397";"600171";"554628";"505234";"670645";"854415";"1104920";
"60";"ETOFFES DE BONNETERIE";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"1626265";"1828195";"2217308";"2545428";"3554597";"3336562";"1966799";"2028524";"2119192";"3240095";"3686469";"3155781";
"61";"VÊTEMENTS ET ACCESSOIRES DU VÊTEMENT EN BONNETERIE";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"8240424";"10359106";"9339098";"9357575";"11352388";"13015429";"11541389";"10887275";"10419949";"9936875";"12076799";"13778738";
"62";"VÊTEMENTS ET ACCESSOIRES DU VÊTEMENT AUTRES QU'EN BONNETERIE";"8";"PRODUITS FINIS DE CONSOMMATION";"8";"ARTICLES MANUFACTURÉS DIVERS";"12792082";"15300298";"13822081";"14348291";"13726853";"15767992";"15574156";"15300305";"16728819";"15069182";"14808875";"17089654";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"8";"PRODUITS FINIS DE CONSOMMATION";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"754343";"556073";"539264";"538582";"631197";"524690";"653655";"661044";"601556";"856331";"788680";"753260";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"8";"PRODUITS FINIS DE CONSOMMATION";"7";"MACHINES ET MATÉRIEL DE TRANSPORT";"0";"443";"0";"56";"0";"0";"0";"0";"11";"0";"30";"0";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"5";"DEMI  PRODUITS";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"0";"248";"650";"0";"0";"5";"0";"0";"0";"39";"0";"90";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"7";"PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL";"6";"ARTICLES MANUFACTURÉS CLASSÉS PRINCIPALEMENT D'APRÈS LA MATIÈRE PREMIÈRE";"320113";"182107";"4926";"41702";"21600";"24794";"385195";"105090";"80796";"63378";"86064";"79535";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"3";"PRODUITS BRUTS D'ORIGINE ANIMALE ET VEGETALE";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"390914";"1852773";"1507266";"1288505";"1452309";"1002353";"1241770";"1438858";"1439496";"1154817";"1008716";"770385";
"63";"AUTRES ARTICLES TEXTILES CONFECTIONNÉS, FRIPERIE ET CHIFFONS";"5";"DEMI  PRODUITS";"2";"MATIÈRES BRUTES NON COMESTIBLES À L'EXCEPTION DES CARBURANTS";"0";"1340";"40";"120";"470";"0";"0";"0";"0";"2426";"0";"0";
